"Sim.ID","Region","Dist.to.Margin","MeanCloneBirth","Location"
"209992","R22",11.66,0.759493670886076,"At.Centre"
"209992","R23",13.6,0.506329113924051,"At.Centre"
"209992","R24",10.77,0.759493670886076,"At.Centre"
"209992","R25",6.32,0.791139240506329,"At.Margin"
"210042","R1",6,0.922155688622755,"At.Margin"
"210042","R2",6.71,0.718562874251497,"At.Margin"
"210042","R3",15,NA,"At.Centre"
"210042","R4",15.56,0.778443113772455,"At.Centre"
"210042","R5",18.87,0.899059024807528,"At.Centre"
"210042","R6",25,NA,"At.Centre"
"210042","R9",17.03,0.848802395209581,"At.Centre"
"210042","R10",9.22,0.838323353293413,"At.Margin"
"210042","R13",43.83,0.923652694610778,"At.Centre"
"210042","R14",27.2,0.832335329341317,"At.Centre"
"210042","R15",8.25,0.818363273453094,"At.Margin"
"210042","R16",15.03,1,"At.Centre"
"210042","R17",19,NA,"At.Centre"
"210042","R18",27.59,0.872255489021956,"At.Centre"
"210042","R19",21.93,0.818862275449102,"At.Centre"
"210042","R20",5.39,0.874251497005988,"At.Margin"
"210042","R21",10.44,0.823353293413174,"At.Centre"
"210042","R22",5.39,0.798403193612774,"At.Margin"
"210111","R1",13.45,0.876543209876543,"At.Centre"
"210111","R2",20.62,0.765432098765432,"At.Centre"
"210111","R3",14.32,0.617283950617284,"At.Centre"
"210111","R4",6.08,0.881834215167548,"At.Margin"
"210111","R5",24.6,0.833333333333333,"At.Centre"
"210111","R6",40.31,0.91358024691358,"At.Centre"
"210111","R7",26,0.843621399176955,"At.Centre"
"210111","R8",6,0.740740740740741,"At.Margin"
"210111","R9",5.39,0.740740740740741,"At.Margin"
"210111","R10",24.52,0.740740740740741,"At.Centre"
"210111","R11",44.28,0.617283950617284,"At.Centre"
"210111","R13",13.89,NA,"At.Centre"
"210111","R14",9.43,0.833333333333333,"At.Margin"
"210111","R15",26.4,0.617283950617284,"At.Centre"
"210111","R18",16.49,0.617283950617284,"At.Centre"
"210111","R19",16,0.833333333333333,"At.Centre"
"210111","R20",35.44,0.837742504409171,"At.Centre"
"210111","R21",42.2,0.947873799725652,"At.Centre"
"210111","R23",10.05,0.699588477366255,"At.Centre"
"210111","R24",9.22,0.888888888888889,"At.Margin"
"210111","R25",23.71,0.802469135802469,"At.Centre"
"210111","R26",28.86,0.866666666666667,"At.Centre"
"210111","R27",16.64,0.823045267489712,"At.Centre"
"210111","R28",6.32,0.761316872427984,"At.Margin"
"210111","R29",9.85,0.771604938271605,"At.Margin"
"210114","R1",8.06,0.732860520094563,"At.Margin"
"210114","R2",17.46,0.724822695035461,"At.Centre"
"210114","R3",17,0.691489361702128,"At.Centre"
"210114","R4",7.81,0.803782505910165,"At.Margin"
"210114","R5",6.32,0.709219858156028,"At.Margin"
"210114","R6",22.63,0.781560283687943,"At.Centre"
"210114","R7",36.12,0.820668693009119,"At.Centre"
"210114","R8",34.89,0.833333333333333,"At.Centre"
"210114","R9",22.2,0.726950354609929,"At.Centre"
"210114","R10",5.39,0.75177304964539,"At.Margin"
"210114","R11",12.04,0.762411347517731,"At.Centre"
"210114","R12",31.95,0.567375886524823,"At.Centre"
"210114","R13",50.61,0.959548200682953,"At.Centre"
"210114","R14",42.52,0.898345153664303,"At.Centre"
"210114","R15",30.81,0.49645390070922,"At.Centre"
"210114","R16",11.05,0.709219858156028,"At.Centre"
"210114","R17",8.94,0.794326241134752,"At.Margin"
"210114","R18",26.91,0.843971631205674,"At.Centre"
"210114","R21",14.42,0.780141843971631,"At.Centre"
"210114","R22",4.12,0.756501182033097,"At.Margin"
"210114","R23",11.18,0.768321513002364,"At.Centre"
"210114","R24",15,0.567375886524823,"At.Centre"
"210114","R25",10,0.460992907801418,"At.Margin"
"223909","R1",6,0.8125,"At.Margin"
"223909","R2",3.61,0.883333333333333,"At.Margin"
"223909","R3",14.87,0.777777777777778,"At.Centre"
"223909","R4",25.96,0.583333333333333,"At.Centre"
"223909","R5",21.02,0.75,"At.Centre"
"223909","R6",8.6,0.75,"At.Margin"
"223909","R7",18.36,0.805555555555556,"At.Centre"
"223909","R8",29.68,0.75,"At.Centre"
"223909","R9",43.14,0.85,"At.Centre"
"223909","R10",36.4,0.708333333333333,"At.Centre"
"223909","R11",19.65,0.5,"At.Centre"
"223909","R12",18.38,0.819444444444445,"At.Centre"
"223909","R14",49.52,0.885416666666667,"At.Centre"
"223909","R15",41.15,0.691666666666667,"At.Centre"
"223909","R16",22.2,0.677083333333333,"At.Centre"
"223909","R17",5.83,0.7,"At.Margin"
"223909","R18",21.26,0.8125,"At.Centre"
