"","Centrality","wgii"
"724","Tumour centre",0.116041573
"725","Tumour centre",0.11604596
"726","Tumour centre",0.116046089
"727","Tumour margin",0.11604596
"728","Tumour margin",0.11604596
"729","Tumour margin",0.11604596
"730","Tumour centre",0.115586867
"731","Tumour margin",0.142445893
"732","Tumour centre",0.160582449
"733","Tumour centre",0.11604596
"734","Tumour centre",0.115586996
"735","Tumour centre",0.115586996
"736","Tumour centre",0.16058232
"737","Tumour centre",0.115586867
"738","Tumour centre",0.16058232
"739","Tumour centre",0.115586867
"740","Tumour margin",0.116046089
"741","Tumour margin",0.127378672
"742","Tumour margin",0.116046089
"743","Tumour centre",0.127837636
"744","Tumour centre",0.110992803
"745","Tumour centre",0.115586867
"746","Tumour margin",0.500932007
"747","Tumour margin",0.127842152
"748","Tumour margin",0.128608605
"749","Tumour centre",0.088357808
"750","Tumour margin",0.124461145
"751","Tumour margin",0.116046089
"752","Tumour margin",0.116046089
"753","Tumour margin",0.116046089
"754","Tumour margin",0.116046089
"755","Tumour margin",0.115586996
"756","Tumour centre",0.124920109
